                          precision    recall  f1-score   support

Heat Dissipation Failure       0.55      0.95      0.70        22
              No Failure       0.99      0.97      0.98      1930
      Overstrain Failure       0.54      0.81      0.65        16
           Power Failure       0.80      0.84      0.82        19
         Random Failures       0.00      0.00      0.00         4
       Tool Wear Failure       0.03      0.11      0.05         9

                accuracy                           0.96      2000
               macro avg       0.49      0.61      0.53      2000
            weighted avg       0.97      0.96      0.97      2000
